TRA05,SEXEP,SUTOT,CHAFF,TAXES
9,1,8,61024.69,803.46
9,1,15,509477.12,119
6,1,27,436904.92,0
9,1,11,384926,1298
8,1,12,177894.68,0
11,2,26,181165.2,0
9,1,16,79338,401
5,1,17,131997.24,0
9,1,22,111479.67,0
7,1,7,266560,2920
8,1,14,386789.8,0
9,1,8,208517.84,3169
5,1,28,941882.64,512
5,1,20,266986,0
8,2,27,206655,0
11,1,14,138737.72,1655
8,1,25,106887,1819
6,1,22,246680,0
11,1,27,445119,0
8,1,15,819319,0
8,1,12,94329,0
7,1,26,105661,770
9,2,3,398550,2048
8,1,27,188364.72,444
9,1,26,265933.47,1897.04
9,2,23,181474,0
6,1,15,237692.69,0
6,1,9,1827382,421
7,1,27,679817,23
9,1,27,1005401,1898
6,1,23,352090,78
5,1,28,698796,0
8,2,21,275518,0
9,1,4,358430,0
10,1,2,851288,149
10,1,2,404800,2135
10,1,22,230193,0
4,1,27,510261,0
7,1,22,217334,170
8,1,22,229950,0
6,1,26,556987.56,25
8,1,23,139963.89,0
11,2,15,84089.81,430.92
8,1,30,533676,1
7,1,17,155605.85,19
10,1,3,172951,2600
8,1,1,36403,0
6,1,1,112522,0
6,1,1,246423,0
11,1,11,866829,0
9,1,11,360308,0
9,1,27,360884,3562
7,1,11,207611.17,0
10,2,4,180633.44,1616.58
10,1,24,486323.11,0
8,1,16,117556,1242
7,1,8,217792.02,0
10,1,17,73100,354
9,1,19,143577.18,328.6
8,1,19,93735.96,1705
8,1,21,253312,0
9,1,15,109372.5,1348.59
10,1,14,123163,728
4,1,21,282202,0
8,1,23,447127,0
10,2,21,157395.74,0
11,1,26,139392,0
7,1,26,311193.16,0
5,1,17,105220,0
9,1,22,193091,213
8,1,1,290043.31,203
7,1,20,201992,327
10,1,26,212459,678
8,1,27,474621,6228
7,1,3,412913,0
9,2,19,95240.16,0
9,1,8,289596,0
